"title","release_year","runtime_minutes","rating","box_office","director_id","country_id"
"Weapons","2025","129",,"210852983",,
"My Oxford Year","2025","113",,"0",,
"The Naked Gun","2025","85",,"86540700",,
"War of the Worlds","2025","91",,"0",,
"The Pickup","2025","94",,"0",,
"Happy Gilmore 2","2025","118",,"0",,
"The Bad Guys 2","2025","104",,"155455193",,
"Together","2025","102",,"27715561",,
"The Fantastic 4: First Steps","2025","115",,"492436052",,
"Brick","2025","99",,"0",,
"Superman","2025","130",,"606658792",,
"Jurassic World Rebirth","2025","134",,"844060875",,
"The Old Guard 2","2025","107",,"0",,
"M3GAN 2.0","2025","120",,"39085199",,
"F1","2025","156",,"607126203",,
"Heads of State","2025","117",,"0",,
"KPop Demon Hunters","2025","96",,"19200000",,
"28 Years Later","2025","115",,"150367300",,
"Elio","2025","98",,"152204528",,
"Echo Valley","2025","105",,"0",,
"Deep Cover","2025","99",,"0",,
"Materialists","2025","116",,"75303614",,
"How to Train Your Dragon","2025","125",,"628789364",,
"STRAW","2025","105",,"0",,
"Predator: Killer of Killers","2025","85",,"0",,
"The Life of Chuck","2025","111",,"11495005",,
"Ballerina","2025","125",,"131794570",,
"Bring Her Back","2025","104",,"33023752",,
"The Phoenician Scheme","2025","102",,"38382371",,
"Fear Street: Prom Queen","2025","90",,"0",,
"Fountain of Youth","2025","126",,"0",,
"Mission: Impossible - The Final Reckoning","2025","170",,"597913515",,
"Lilo & Stitch","2025","108",,"1032075644",,
"Final Destination Bloodlines","2025","110",,"285330814",,
"Karate Kid: Legends","2025","94",,"105456077",,
"Clown in a Cornfield","2025","96",,"8802437",,
"Nonnas","2025","112",,"0",,
"Thunderbolts*","2025","127",,"382436917",,
"Exterritorial","2025","109",,"0",,
"Havoc","2025","107",,"0",,
"Until Dawn","2025","103",,"52794193",,
"The Accountant²","2025","133",,"102123366",,
"iHostage","2025","100",,"0",,
"Sinners","2025","138",,"365878513",,
"Drop","2025","95",,"28744699",,
"G20","2025","108",,"0",,
"Warfare","2025","95",,"31896828",,
"The Amateur","2025","123",,"95956038",,
"A Minecraft Movie","2025","101",,"955149195",,
"The Life List","2025","123",,"0",,
"The Woman in the Yard","2025","87",,"23311502",,
"Death of a Unicorn","2025","107",,"16413285",,
"A Working Man","2025","116",,"99068160",,
"The Assessment","2025","114",,"279328",,
"Locked","2025","95",,"3",,
"Ash","2025","95",,"0",,
"The Alto Knights","2025","122",,"9579515",,
"Black Bag","2025","94",,"34985600",,
"Novocaine","2025","110",,"34536061",,
"Snow White","2025","109",,"205067778",,
"Holland","2025","110",,"0",,
"The Ugly Stepsister","2025","109",,"884602",,
"Another Simple Favor","2025","123",,"0",,
"The Electric State","2025","125",,"0",,
"Mickey 17","2025","137",,"131847147",,
"Counterattack","2025","85",,"0",,
"Last Breath","2025","93",,"22761967",,
"In the Lost Lands","2025","102",,"4755330",,
"Demon City","2025","106",,"0",,
"Madly","2025","97",,"16724320",,
"Cleaner","2025","97",,"1314073",,
"The Monkey","2025","97",,"68871071",,
"The Gorge","2025","127",,"0",,
"My Fault: London","2025","118",,"0",,
"Bridget Jones: Mad About the Boy","2025","124",,"139329132",,
"Captain America: Brave New World","2025","119",,"415101577",,
"Heart Eyes","2025","97",,"33129099",,
"Love Hurts","2025","83",,"17669058",,
"Kinda Pregnant","2025","97",,"0",,
"You're Cordially Invited","2025","111",,"0",,
"Ne Zha 2","2025","144",,"2216990000",,
"Dog Man","2025","89",,"145550471",,
"Flight Risk","2025","91",,"48701987",,
"Companion","2025","97",,"36709101",,
"Presence","2025","84",,"10498407",,
"Alarum","2025","95",,"0",,
"Star Trek: Section 31","2025","96",,"0",,
"Back in Action","2025","114",,"0",,
"Wolf Man","2025","102",,"35153314",,
"Ad Vitam","2025","97",,"0",,
"Den of Thieves 2: Pantera","2025","144",,"54586117",,
"Squid Game: Making Season 2","2025","28",,"0",,
"Your Fault","2024","118",,"0",,
"Babygirl","2024","115",,"60934894",,
"Nosferatu","2024","133",,"181764515",,
"The Brutalist","2024","215",,"50145227",,
"Diamonds","2024","135",,"10115104",,
"Sonic the Hedgehog 3","2024","110",,"492162604",,
"Wallace & Gromit: Vengeance Most Fowl","2024","79",,"191452",,
"Mufasa: The Lion King","2024","118",,"722631756",,
"A Complete Unknown","2024","140",,"138003641",,
"Nickel Boys","2024","140",,"3016380",,
"Dirty Angels","2024","104",,"0",,
"Kraven the Hunter","2024","127",,"62076533",,
"The Six Triple Eight","2024","130",,"0",,
"Better Man","2024","135",,"22549151",,
"Nightbitch","2024","98",,"170737",,
"The Order","2024","116",,"1970445",,
"Carry-On","2024","120",,"0",,
"The Lord of the Rings: The War of the Rohirrim","2024","134",,"20658572",,
"Werewolves","2024","93",,"1052998",,
"The Return","2024","116",,"2106733",,
"Caddo Lake","2024","103",,"0",,
"Our Little Secret","2024","101",,"0",,
"Queer","2024","138",,"5450715",,
"Maria","2024","122",,"504938",,
"The Marching Band","2024","103",,"26252618",,
"That Christmas","2024","91",,"0",,
"Dear Santa","2024","108",,"0",,
"Spellbound","2024","111",,"0",,
"Moana 2","2024","100",,"1059242164",,
"Wicked","2024","162",,"756085570",,
"Miraculous World: London, At the Edge of Time","2024","50",,"0",,
"Gladiator II","2024","148",,"462180717",,
"Hot Frosty","2024","90",,"0",,
"Paddington in Peru","2024","106",,"170116764",,
"5-Sep","2024","94",,"852000",,
"Elevation","2024","91",,"3300000",,
"Let Go","2024","110",,"0",,
"Small Things Like These","2024","99",,"12534032",,
"A Real Pain","2024","90",,"24856027",,
"Heretic","2024","111",,"51913394",,
"Absolution","2024","112",,"3854594",,
"Red One","2024","124",,"185700759",,
"Number 24","2024","112",,"3301976",,
"Juror #2","2024","114",,"21418477",,
"Here","2024","105",,"15397270",,
"Time Cut","2024","90",,"0",,
"Conclave","2024","120",,"115657988",,
"Parthenope","2024","137",,"10361110",,
"Don't Move","2024","92",,"0",,
"Monsieur Aznavour","2024","134",,"16",,
"Family Pack","2024","95",,"0",,
"Venom: The Last Dance","2024","109",,"478937618",,
"The Children's Train","2024","106",,"0",,
"Memoir of a Snail","2024","94",,"7",,
"Smile 2","2024","127",,"138128854",,
"Beating Hearts","2024","166",,"36010728",,
"Anora","2024","139",,"56286295",,
"We Live in Time","2024","108",,"37182814",,
"Canary Black","2024","103",,"525704",,
"Brothers","2024","89",,"0",,
"The Apprentice","2024","122",,"17271613",,
"Souleymane's Story","2024","92",,"4",,
"Terrifier 3","2024","125",,"90322103",,
"The Room Next Door","2024","106",,"15102319",,
"Apocalypse Z: The Beginning of the End","2024","119",,"500000",,
"Woman of the Hour","2024","95",,"0",,
"Salem's Lot","2024","113",,"851156",,
"Joker: Folie à Deux","2024","138",,"207500287",,
"The Platform 2","2024","101",,"0",,
"Saturday Night","2024","109",,"9802525",,
"Azrael","2024","86",,"631272",,
"The Outrun","2024","118",,"3983828",,
"Killer Heat","2024","97",,"0",,
"Megalopolis","2024","138",,"14387154",,
"Bagman","2024","92",,"0",,
"Wolfs","2024","108",,"0",,
"Apartment 7A","2024","106",,"0",,
"I'm Still Here","2024","138",,"36109482",,
"The Seed of the Sacred Fig","2024","167",,"6501810",,
