title,release_year,runtime_minutes,rating,box_office,director_id,country_id
Weapons,2025,129,R,210852983,1,1
My Oxford Year,2025,113,PG-13,0,1,1
The Naked Gun,2025,85,PG-13,86540700,1,1
War of the Worlds,2025,91,PG-13,0,1,1
The Pickup,2025,94,R,0,1,1
Happy Gilmore 2,2025,118,PG-13,0,1,1
The Bad Guys 2,2025,104,PG,155455193,1,1
Together,2025,102,R,27715561,1,1
The Fantastic 4: First Steps,2025,115,PG-13,492436052,1,1
Brick,2025,99,R,0,1,1
Superman,2025,130,PG-13,606658792,1,1
Jurassic World Rebirth,2025,134,PG-13,844060875,1,1
The Old Guard 2,2025,107,R,0,1,1
M3GAN 2.0,2025,120,PG-13,39085199,1,1
F1,2025,156,PG-13,607126203,1,1
Heads of State,2025,117,PG-13,0,1,1
KPop Demon Hunters,2025,96,PG,19200000,1,1
28 Years Later,2025,115,R,150367300,1,1
Elio,2025,98,PG,152204528,1,1
Echo Valley,2025,105,R,0,1,1
Deep Cover,2025,99,R,0,1,1
Materialists,2025,116,R,75303614,1,1
How to Train Your Dragon,2025,125,PG,628789364,1,1
STRAW,2025,105,R,0,1,1
Predator: Killer of Killers,2025,85,R,0,1,1
The Life of Chuck,2025,111,R,11495005,1,1
Ballerina,2025,125,R,131794570,1,1
Bring Her Back,2025,104,R,33023752,1,1
The Phoenician Scheme,2025,102,PG-13,38382371,1,1
Fear Street: Prom Queen,2025,90,R,0,1,1
Fountain of Youth,2025,126,PG-13,0,1,1
Mission: Impossible - The Final Reckoning,2025,170,PG-13,597913515,1,1
Lilo & Stitch,2025,108,PG,1032075644,1,1
Final Destination Bloodlines,2025,110,R,285330814,1,1
Karate Kid: Legends,2025,94,PG-13,105456077,1,1
Clown in a Cornfield,2025,96,R,8802437,1,1
Nonnas,2025,112,PG,0,1,1
Thunderbolts*,2025,127,PG-13,382436917,1,1
Exterritorial,2025,109,R,0,1,1
Havoc,2025,107,R,0,1,1
Until Dawn,2025,103,R,52794193,1,1
The AccountantÂ²,2025,133,R,102123366,1,1
iHostage,2025,100,R,0,1,1
Sinners,2025,138,R,365878513,1,1
Drop,2025,95,PG-13,28744699,1,1
G20,2025,108,R,0,1,1
Warfare,2025,95,R,31896828,1,1
The Amateur,2025,123,PG-13,95956038,1,1
A Minecraft Movie,2025,101,PG,955149195,1,1
The Life List,2025,123,PG-13,0,1,1
The Woman in the Yard,2025,87,PG-13,23311502,1,1
Death of a Unicorn,2025,107,R,16413285,1,1
A Working Man,2025,116,R,99068160,1,1
The Assessment,2025,114,R,279328,1,1
Locked,2025,95,R,3,1,1
Ash,2025,95,R,0,1,1
The Alto Knights,2025,122,R,9579515,1,1
Black Bag,2025,94,R,34985600,1,1
Novocaine,2025,110,R,34536061,1,1
Snow White,2025,109,PG,205067778,1,1
Holland,2025,110,R,0,1,1
The Ugly Stepsister,2025,109,NR,884602,1,1
Another Simple Favor,2025,123,R,0,1,1
The Electric State,2025,125,PG-13,0,1,1
Mickey 17,2025,137,R,131847147,1,1
Counterattack,2025,85,R,0,1,1
Last Breath,2025,93,PG-13,22761967,1,1
In the Lost Lands,2025,102,R,4755330,1,1
Demon City,2025,106,R,0,1,1
Madly,2025,97,6+,16724320,1,1
Cleaner,2025,97,R,1314073,1,1
The Monkey,2025,97,R,68871071,1,1
The Gorge,2025,127,PG-13,0,1,1
My Fault: London,2025,118,PG-13,0,1,1
Bridget Jones: Mad About the Boy,2025,124,R,139329132,1,1
Captain America: Brave New World,2025,119,PG-13,415101577,1,1
Heart Eyes,2025,97,R,33129099,1,1
Love Hurts,2025,83,R,17669058,1,1
Kinda Pregnant,2025,97,R,0,1,1
You're Cordially Invited,2025,111,R,0,1,1
Ne Zha 2,2025,144,NR,2216990000,1,1
Dog Man,2025,89,PG,145550471,1,1
Flight Risk,2025,91,R,48701987,1,1
Companion,2025,97,R,36709101,1,1
Presence,2025,84,R,10498407,1,1
Alarum,2025,95,R,0,1,1
Star Trek: Section 31,2025,96,PG-13,0,1,1
Back in Action,2025,114,PG-13,0,1,1
Wolf Man,2025,102,R,35153314,1,1
Ad Vitam,2025,97,R,0,1,1
Den of Thieves 2: Pantera,2025,144,R,54586117,1,1
Squid Game: Making Season 2,2025,28,R,0,1,1
Your Fault,2024,118,NR,0,1,1
Babygirl,2024,115,R,60934894,1,1
Nosferatu,2024,133,R,181764515,1,1
The Brutalist,2024,215,R,50145227,1,1
Diamonds,2024,135,13,10115104,1,1
Sonic the Hedgehog 3,2024,110,PG,492162604,1,1
Wallace & Gromit: Vengeance Most Fowl,2024,79,PG,191452,1,1
Mufasa: The Lion King,2024,118,PG,722631756,1,1
A Complete Unknown,2024,140,R,138003641,1,1
Nickel Boys,2024,140,PG-13,3016380,1,1
Dirty Angels,2024,104,R,0,1,1
Kraven the Hunter,2024,127,R,62076533,1,1
The Six Triple Eight,2024,130,PG-13,0,1,1
Better Man,2024,135,R,22549151,1,1
Nightbitch,2024,98,R,170737,1,1
The Order,2024,116,R,1970445,1,1
Carry-On,2024,120,PG-13,0,1,1
The Lord of the Rings: The War of the Rohirrim,2024,134,PG-13,20658572,1,1
Werewolves,2024,93,R,1052998,1,1
The Return,2024,116,R,2106733,1,1
Caddo Lake,2024,103,PG-13,0,1,1
Our Little Secret,2024,101,PG-13,0,1,1
Queer,2024,138,R,5450715,1,1
Maria,2024,122,R,504938,1,1
The Marching Band,2024,103,12,26252618,1,1
That Christmas,2024,91,PG,0,1,1
Dear Santa,2024,108,PG-13,0,1,1
Spellbound,2024,111,PG,0,1,1
Moana 2,2024,100,PG,1059242164,1,1
Wicked,2024,162,PG,756085570,1,1
"Miraculous World: London, At the Edge of Time",2024,50,PG,0,1,1
Gladiator II,2024,148,R,462180717,1,1
Hot Frosty,2024,90,PG,0,1,1
Paddington in Peru,2024,106,PG,170116764,1,1
5-Sep,2024,94,R,852000,1,1
Elevation,2024,91,R,3300000,1,1
Let Go,2024,110,14,0,1,1
Small Things Like These,2024,99,PG-13,12534032,1,1
A Real Pain,2024,90,R,24856027,1,1
Heretic,2024,111,R,51913394,1,1
Absolution,2024,112,R,3854594,1,1
Red One,2024,124,PG-13,185700759,1,1
Number 24,2024,112,R,3301976,1,1
Juror #2,2024,114,PG-13,21418477,1,1
Here,2024,105,PG-13,15397270,1,1
Time Cut,2024,90,PG-13,0,1,1
Conclave,2024,120,PG,115657988,1,1
Parthenope,2024,137,R,10361110,1,1
Don't Move,2024,92,R,0,1,1
Monsieur Aznavour,2024,134,M,16,1,1
Family Pack,2024,95,PG-13,0,1,1
Venom: The Last Dance,2024,109,PG-13,478937618,1,1
The Children's Train,2024,106,PG,0,1,1
Memoir of a Snail,2024,94,R,7,1,1
Smile 2,2024,127,R,138128854,1,1
Beating Hearts,2024,166,MA 15+,36010728,1,1
Anora,2024,139,R,56286295,1,1
We Live in Time,2024,108,R,37182814,1,1
Canary Black,2024,103,R,525704,1,1
Brothers,2024,89,R,0,1,1
The Apprentice,2024,122,R,17271613,1,1
Souleymane's Story,2024,92,12,4,1,1
Terrifier 3,2024,125,NR,90322103,1,1
The Room Next Door,2024,106,PG-13,15102319,1,1
Apocalypse Z: The Beginning of the End,2024,119,16,500000,1,1
Woman of the Hour,2024,95,R,0,1,1
Salem's Lot,2024,113,R,851156,1,1
Joker: Folie Ã  Deux,2024,138,R,207500287,1,1
The Platform 2,2024,101,R,0,1,1
Saturday Night,2024,109,R,9802525,1,1
Azrael,2024,86,R,631272,1,1
The Outrun,2024,118,R,3983828,1,1
Killer Heat,2024,97,R,0,1,1
Megalopolis,2024,138,R,14387154,1,1
Bagman,2024,92,PG-13,0,1,1
Wolfs,2024,108,R,0,1,1
Apartment 7A,2024,106,R,0,1,1
I'm Still Here,2024,138,PG-13,36109482,1,1
The Seed of the Sacred Fig,2024,167,PG-13,6501810,1,1
Never Let Go,2024,101,R,21768945,1,1
My Old Ass,2024,89,R,5705895,1,1
The Wild Robot,2024,102,PG,331982078,1,1
Officer Black Belt,2024,108,R,0,1,1
Lee,2024,117,R,23508220,1,1
Uglies,2024,100,PG-13,0,1,1
The Killer's Game,2024,104,R,5928351,1,1
Speak No Evil,2024,110,R,76756109,1,1
Transformers One,2024,104,PG,128888103,1,1
The Shadow Strays,2024,145,NC-17,0,1,1
The Substance,2024,141,R,76506196,1,1
The Girl with the Needle,2024,123,16,470300,1,1
Beetlejuice Beetlejuice,2024,105,PG-13,451900435,1,1
Hellboy: The Crooked Man,2024,100,R,2014050,1,1
Flow,2024,85,PG,17660107,1,1
Afraid,2024,84,PG-13,12977758,1,1
Rebel Ridge,2024,132,R,0,1,1
A Different Man,2024,112,R,1169365,1,1
The Forge,2024,123,PG,40392664,1,1
Incoming,2024,92,R,0,1,1
The Killer,2024,126,R,318618,1,1
Emilia PÃ©rez,2024,132,R,16302703,1,1
The Crow,2024,111,R,24109036,1,1
Blink Twice,2024,102,R,46393906,1,1
The Deliverance,2024,112,R,0,1,1
Subservience,2024,105,R,262793,1,1
The Union,2024,109,PG-13,0,1,1
Jackpot!,2024,107,R,0,1,1
Alien: Romulus,2024,119,R,350865342,1,1
It Ends with Us,2024,131,PG-13,350993761,1,1
Borderlands,2024,101,PG-13,33017367,1,1
The Instigators,2024,102,R,11098,1,1
Trap,2024,105,PG-13,83677281,1,1
The Price of Money: A Largo Winch Adventure,2024,100,16,0,1,1
Harold and the Purple Crayon,2024,90,PG,32227855,1,1
Deadpool & Wolverine,2024,128,R,1338073645,1,1
Oddity,2024,98,R,1699044,1,1
My Spy The Eternal City,2024,112,PG-13,0,1,1
Justice League: Crisis on Infinite Earths Part Three,2024,99,PG-13,0,1,1
Kingdom: Return of the Great General,2024,146,R,54114815,1,1
Sing Sing,2024,107,R,3401789,1,1
Descendants: The Rise of Red,2024,92,G,0,1,1
Project Silence,2024,96,16,6283415,1,1
Longlegs,2024,101,R,127961936,1,1
